化学式,相,温度,结构文件,密度_Atom_per_Angstrom3,体系原子数,贡献者,HPC来源路径,代表帧来源,功能性
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/1-model_F/4-MD/600K/xdatcar/POSCAR,0.03019,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/1-model_F/4-MD/600K/xdatcar/POSCAR,md-first-frame,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/2-model_T/3-opt/CONTCAR,0.02982,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/2-model_T/3-opt/CONTCAR,opt-CONTCAR,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/3-model/3-opt/CONTCAR,0.02982,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/3-model/3-opt/CONTCAR,opt-CONTCAR,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/3-model/5-mgs/01-MD/POSCAR,0.02982,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/3-model/5-mgs/01-MD/POSCAR,md-first-frame,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/4-model/3-opt/CONTCAR,0.0311,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/4-model/3-opt/CONTCAR,opt-CONTCAR,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xqd/2-OTS/5-Sb2Se3/5-model-mgs/03-opt/CONTCAR,0.03226,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/5-Sb2Se3/5-model-mgs/03-opt/CONTCAR,opt-CONTCAR,Others
Ge75Se225,amorphous,300K,nscc1741_XM/xqd/2-OTS/9-GeSe3/1-model/3-opt/CONTCAR,0.0333,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/2-OTS/9-GeSe3/1-model/3-opt/CONTCAR,opt-CONTCAR,OTS
Ge150Se15Te135,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/1-10%/1-model/3-opt/CONTCAR,0.03173,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/1-10%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se30Te120,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/2-20%/1-model/3-opt/CONTCAR,0.03177,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/2-20%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se45Te105,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/3-30%/1-model/3-opt/CONTCAR,0.03246,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/3-30%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se60Te90,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/4-40%/1-model/3-opt/CONTCAR,0.03255,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/4-40%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se60Te90,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/4-40%/1-model/MD/new_MD_300K/POSCAR,0.03255,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/4-40%/1-model/MD/new_MD_300K/POSCAR,md-first-frame,PCM
Ge150Se60Te90,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/4-40%/2-model/3-opt/CONTCAR,0.03331,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/4-40%/2-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se75Te75,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/5-50%/2-model/3-opt/CONTCAR,0.03338,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/5-50%/2-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se75Te75,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/5-50%/3-model/3-opt/CONTCAR,0.03354,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/5-50%/3-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se90Te60,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/6-60%/1-model/3-opt/CONTCAR,0.03255,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/6-60%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Ge150Se30Te120,amorphous,300K,nscc1741_XM/xqd/3-GeSeTe/8-80%/1-model/3-opt/CONTCAR,0.03177,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/3-GeSeTe/8-80%/1-model/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb120Se54Te126,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/3-30%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/3-30%/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb120Se72Te108,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/4-40%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/4-40%/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb120Se90Te90,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/5-50%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/5-50%/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb120Se108Te72,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/6-60%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/6-60%/3-opt/CONTCAR,opt-CONTCAR,PCM
Sb120Se126Te54,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/7-70%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/7-70%/3-opt/CONTCAR,opt-CONTCAR,Others
Sb120Se144Te36,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/8-80%/3-opt/CONTCAR,0.0272,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/8-80%/3-opt/CONTCAR,opt-CONTCAR,Others
Sb120Se162Te18,amorphous,300K,nscc1741_XM/xqd/4-Sb2SeTe3/9-90%/3-opt/CONTCAR,0.02731,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/4-Sb2SeTe3/9-90%/3-opt/CONTCAR,opt-CONTCAR,Others
Sb255Zn45,amorphous,300K,nscc1741_XM/xqd/5-Sb-X/2-ZnSb/3-opt/CONTCAR,0.0413,300,Qundao Xu,nscc1741_XM@10.68.0.1:~/xqd/5-Sb-X/2-ZnSb/3-opt/CONTCAR,opt-CONTCAR,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/4-opt2/CONTCAR,0.03136,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/4-opt2/CONTCAR,opt-CONTCAR,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/1-0Gpa/POSCAR,0.03302,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/pressure/1-0Gpa/POSCAR,md-first-frame,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/2-2%/POSCAR,0.03508,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/pressure/2-2%/POSCAR,md-first-frame,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/pressure/3-5%/POSCAR,0.03851,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/pressure/3-5%/POSCAR,md-first-frame,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/temperature/1-300k/POSCAR,0.03302,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/temperature/1-300k/POSCAR,md-first-frame,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/vdos/1-vdos-0-5000/POSCAR,0.03302,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/vdos/1-vdos-0-5000/POSCAR,md-first-frame,Others
Sb300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/1-Sb/vdos/2-vdos-5000/POSCAR,0.03302,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/1-Sb/vdos/2-vdos-5000/POSCAR,md-first-frame,Others
Sn150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/10-SnTe/3-opt2/CONTCAR,0.02937,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/10-SnTe/3-opt2/CONTCAR,opt-CONTCAR,Others
Sn150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/10-SnTe/temperature/1-300k/POSCAR,0.02848,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/10-SnTe/temperature/1-300k/POSCAR,md-first-frame,Others
Sn150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/10-SnTe/vdos/1-0-3000/POSCAR,0.02848,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/10-SnTe/vdos/1-0-3000/POSCAR,md-first-frame,Others
Pb150Se150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/12-PbSe/4-opt7/CONTCAR,0.03154,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/12-PbSe/4-opt7/CONTCAR,opt-CONTCAR,Others
Pb150Se150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/12-PbSe/vdos/1-vdos-0-5000/POSCAR,0.0311,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/12-PbSe/vdos/1-vdos-0-5000/POSCAR,md-first-frame,Others
Ge150S150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/13-GeS/3-opt2/CONTCAR,0.04553,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/13-GeS/3-opt2/CONTCAR,opt-CONTCAR,OTS
Ge150S150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/13-GeS/vdos/1-0-3000/POSCAR,0.04249,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/13-GeS/vdos/1-0-3000/POSCAR,md-first-frame,OTS
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/3-opt2/CONTCAR,0.04891,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/3-opt2/CONTCAR,opt-CONTCAR,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/1-2-2000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/1-2-2000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/10-0.5-4000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/10-0.5-4000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/11-1-1000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/11-1-1000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/12-1-2000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/12-1-2000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/13-1-5000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/13-1-5000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/14-1-5000-0/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/14-1-5000-0/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/15-1-3000-0/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/15-1-3000-0/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/2-1-1000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/2-1-1000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/3-1-2000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/3-1-2000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/4-1-3000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/4-1-3000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/5-2-5000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/5-2-5000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/6-5-400/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/6-5-400/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/7-1-5000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/7-1-5000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/8-10000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/8-10000/POSCAR,md-first-frame,Others
Si300,amorphous,300K,nscc1741_XM/xumeng/1-PCM/14-Si/vdos/9-0.5-2000/POSCAR,0.04873,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/14-Si/vdos/9-0.5-2000/POSCAR,md-first-frame,Others
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/3-opt2/CONTCAR,0.02872,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/3-opt2/CONTCAR,opt-CONTCAR,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/1-0GPa/POSCAR,0.03047,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/pressure/1-0GPa/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/2-2%/POSCAR,0.03238,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/pressure/2-2%/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/3-5%/POSCAR,0.03554,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/pressure/3-5%/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/pressure/4-10%/POSCAR,0.0418,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/pressure/4-10%/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/1-0-3000/POSCAR,0.03114,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/vdos/1-0-3000/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/2-1-4000/POSCAR,0.03114,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/vdos/2-1-4000/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/3-2-4000/POSCAR,0.03114,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/vdos/3-2-4000/POSCAR,md-first-frame,PCM
Ge68Sb68Te170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/15-GST-225/vdos/4-0-6000/POSCAR,0.03114,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/15-GST-225/vdos/4-0-6000/POSCAR,md-first-frame,PCM
Ag12In9Sb201Te78,amorphous,300K,nscc1741_XM/xumeng/1-PCM/16-AIST/3-opt2/CONTCAR,0.0306,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/16-AIST/3-opt2/CONTCAR,opt-CONTCAR,PCM
Ag12In9Sb201Te78,amorphous,300K,nscc1741_XM/xumeng/1-PCM/16-AIST/vdos/1-0-5000/POSCAR,0.02958,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/16-AIST/vdos/1-0-5000/POSCAR,md-first-frame,PCM
Sb112Sc14Te189,amorphous,300K,nscc1741_XM/xumeng/1-PCM/17-SST/3-opt2/CONTCAR,0.02937,315,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/17-SST/3-opt2/CONTCAR,opt-CONTCAR,PCM
Sb86Sn43Te172,amorphous,300K,nscc1741_XM/xumeng/1-PCM/18-SnSb2Te4/3-opt2/CONTCAR,0.02825,301,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/18-SnSb2Te4/3-opt2/CONTCAR,opt-CONTCAR,PCM
Bi86Ge43Te172,amorphous,300K,nscc1741_XM/xumeng/1-PCM/19-GeBiTe/3-opt2/CONTCAR,0.02825,301,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/19-GeBiTe/3-opt2/CONTCAR,opt-CONTCAR,PCM
Ge45Sb255,amorphous,300K,nscc1741_XM/xumeng/1-PCM/2-Ge15Sb85/4-opt2/CONTCAR,0.03149,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/2-Ge15Sb85/4-opt2/CONTCAR,opt-CONTCAR,Others
Ge45Sb255,amorphous,300K,nscc1741_XM/xumeng/1-PCM/2-Ge15Sb85/vdos/1-0-3000/POSCAR,0.03138,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/2-Ge15Sb85/vdos/1-0-3000/POSCAR,md-first-frame,Others
Ge68Sb68Se170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/20-Ge2Sb2Se5/3-opt2/CONTCAR,0.03711,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/20-Ge2Sb2Se5/3-opt2/CONTCAR,opt-CONTCAR,OTS
Ge68Sb68Se170,amorphous,300K,nscc1741_XM/xumeng/1-PCM/20-Ge2Sb2Se5/7-3000-300/CONTCAR,0.035,306,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/20-Ge2Sb2Se5/7-3000-300/CONTCAR,opt-CONTCAR,OTS
Pb150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/21-PbTe/3-opt2/CONTCAR,0.02836,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/21-PbTe/3-opt2/CONTCAR,opt-CONTCAR,Others
Pb150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/21-PbTe/temperature/1-300k/POSCAR,0.02697,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/21-PbTe/temperature/1-300k/POSCAR,md-first-frame,Others
Pb150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/21-PbTe/vdos/1-0-3000MD/POSCAR,0.02697,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/21-PbTe/vdos/1-0-3000MD/POSCAR,md-first-frame,Others
Se150Sn150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/22-SnSe/3-opt2/CONTCAR,0.03751,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/22-SnSe/3-opt2/CONTCAR,opt-CONTCAR,Others
S150Sn150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/23-SnS/3-opt2/CONTCAR,0.04201,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/23-SnS/3-opt2/CONTCAR,opt-CONTCAR,Others
Sb86Si43Te172,amorphous,300K,nscc1741_XM/xumeng/1-PCM/24-SiSbTe/3-opt2/CONTCAR,0.02986,301,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/24-SiSbTe/3-opt2/CONTCAR,opt-CONTCAR,PCM
Pb150S150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/25-PbS/3-opt2/CONTCAR,0.03389,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/25-PbS/3-opt2/CONTCAR,opt-CONTCAR,Others
Si150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/26-SiTe/3-opt2/CONTCAR,0.03417,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/26-SiTe/3-opt2/CONTCAR,opt-CONTCAR,Others
Si150Te150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/26-SiTe/vdos/1-0-3000MD/POSCAR,0.03332,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/26-SiTe/vdos/1-0-3000MD/POSCAR,md-first-frame,Others
Se150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/27-SiSe/8-opt2/CONTCAR,0.04499,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/27-SiSe/8-opt2/CONTCAR,opt-CONTCAR,Others
Ge43Te257,amorphous,300K,nscc1741_XM/xumeng/1-PCM/28-GeTe6/3-opt7/CONTCAR,0.02907,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/28-GeTe6/3-opt7/CONTCAR,opt-CONTCAR,OTS
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/4-opt2/CONTCAR,0.04444,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/4-opt2/CONTCAR,opt-CONTCAR,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/0-0GP/POSCAR,0.04658,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/0-0GP/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/1-0GPa/POSCAR,0.04511,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/1-0GPa/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/2-2%/POSCAR,0.04792,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/2-2%/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/3-5%/POSCAR,0.05261,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/3-5%/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/4-10%/POSCAR,0.06187,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/4-10%/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/3-SiGe/pressure/NPT-test/POSCAR,0.04511,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/pressure/NPT-test/POSCAR,md-first-frame,Others
Ge150Si150,amorphous,400K,nscc1741_XM/xumeng/1-PCM/3-SiGe/temperature/2-400k/POSCAR,0.04511,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/3-SiGe/temperature/2-400k/POSCAR,md-first-frame,Others
Ga150Sb150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/30-GaSb/3-opt2/CONTCAR,0.03627,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/30-GaSb/3-opt2/CONTCAR,opt-CONTCAR,Others
As150Ga150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/31-GaAs/3-opt2/CONTCAR,0.04206,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/31-GaAs/3-opt2/CONTCAR,opt-CONTCAR,Others
As150Ga150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/31-GaAs/vdos/1-0-3000MD/POSCAR,0.0418,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/31-GaAs/vdos/1-0-3000MD/POSCAR,md-first-frame,Others
As150Ga150,amorphous,300K,nscc1741_XM/xumeng/1-PCM/31-GaAs/vdos/2-0-300MD/POSCAR,0.0418,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/31-GaAs/vdos/2-0-300MD/POSCAR,md-first-frame,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/5-opt7/CONTCAR,0.03246,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/32-Sb2Se3/5-opt7/CONTCAR,opt-CONTCAR,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/3-MD-300k/POSCAR,0.0332,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/32-Sb2Se3/3-MD-300k/POSCAR,md-first-frame,Others
Sb120Se180,amorphous,300K,nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/4-MD-300k/POSCAR,0.0332,300,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/32-Sb2Se3/4-MD-300k/POSCAR,md-first-frame,Others
Sb64Se64,amorphous,300K,nscc1741_XM/xumeng/1-PCM/32-Sb2Se3/bbc/1-opt3/CONTCAR,0.04665,128,Meng Xu,nscc1741_XM@10.68.0.1:~/xumeng/1-PCM/32-Sb2Se3/bbc/1-opt3/CONTCAR,opt-CONTCAR,Others
